"class","weight","femur_load"
1,1700,574
1,1700,976
1,1700,789
1,1700,805
1,1700,361
1,1700,529
2,2300,791
2,2300,1146
2,2300,394
2,2300,767
2,2300,1385
2,2300,1021
2,2300,2073
2,2300,803
2,2300,1263
2,2300,1016
2,2300,1101
2,2300,945
2,2300,139
3,2800,865
3,2800,775
3,2800,729
3,2800,1721
3,2800,1113
3,2800,820
3,2800,1613
3,2800,1404
3,2800,1201
3,2800,205
3,2800,1380
3,2800,580
3,2800,1803
4,3200,998
4,3200,1049
4,3200,736
4,3200,782
4,3200,730
4,3200,742
4,3200,1219
4,3200,705
4,3200,1260
4,3200,611
4,3200,1350
4,3200,1657
4,3200,1143
5,3700,1154
5,3700,541
5,3700,406
5,3700,1529
5,3700,1132
5,3700,767
5,3700,1224
5,3700,314
5,3700,1728
