"topspeed","km.per.liter"
155,27.1
156,23.2
169,20.3
155,19.3
169,19.2
156,18.8
158,24.6
158,22.1
172,18
166,17.1
182,17
182,17
166,16.8
166,16.3
171,16.1
182,16.1
171,15.9
175,17.5
177,17
169,16.3
179,16.1
177,15.9
177,15.9
177,15.9
175,12.2
180,15.1
179,14.7
179,14.6
164,14.6
171,14.6
171,14.5
175,13.8
175,13.7
193,13.4
171,13.4
175,13.4
169,13.1
174,13.1
174,13
172,13
193,12.9
175,14
175,13.5
175,13
175,13
214,12.6
201,12
185,11.6
164,11.6
175,11.6
167,11.6
169,11.6
193,11.5
172,10.6
184,10.5
184,9.9
188,9.8
196,9.8
196,9.8
196,9.8
196,9.8
238,9.8
258,9.7
195,9.7
195,9.6
177,9.5
177,9.5
266,7.5
225,7.1
237,7.1
253,6.9
209,5.5
